2023-3,003,3,Brooklyn Nets,97,1,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,Philadelphia 76ers
2023-3,003,4,Philadelphia 76ers,96,0,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,Philadelphia 76ers
2023-3,003,4,Brooklyn Nets,88,1,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,Philadelphia 76ers
2023-4,004,1,Atlanta Hawks,99,0,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,Boston Celtics
2023-4,004,1,Boston Celtics,112,1,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,Atlanta Hawks
2023-4,004,2,Atlanta Hawks,106,0,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,Boston Celtics
2023-4,004,2,Boston Celtics,119,1,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,Atlanta Hawks
2023-4,004,3,Boston Celtics,122,0,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,Atlanta Hawks
2023-4,004,3,Atlanta Hawks,130,1,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,Boston Celtics
2023-4,004,4,Boston Celtics,129,0,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,Atlanta Hawks
2023-4,004,4,Atlanta Hawks,121,1,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,Boston Celtics
2023-4,004,5,Atlanta Hawks,119,0,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,Boston Celtics
2023-4,004,5,Boston Celtics,117,1,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,Atlanta Hawks
2023-4,004,6,Boston Celtics,128,0,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,Atlanta Hawks
2023-4,004,6,Atlanta Hawks,120,1,youngtr01 huntede01 murrade01 collijo01 bogdabo01,capelca01 beysa01 okongon01 johnsja05 holidaa01,tatumja01 brownja02 horfoal01 whitede01 smartma01,brogdma01 williro04 hausesa01 willigr01 griffbl01 kornelu01 muscami01 pritcpa01,Boston Celtics
