score,series_ID,starters_playoff_exp_diff,bench_playoff_exp_diff,at_home,team,reg_season_points,opp_reg_season_pa
93,316,-6894,-4045,1,Boston Celtics,96.4,
103,316,-6894,-4045,0,Boston Celtics,96.4,
108,316,6894,4045,1,Philadelphia 76ers,91.0,
81,316,-6894,-4045,0,Boston Celtics,96.4,
83,316,6894,4045,1,Philadelphia 76ers,91.0,
87,316,6894,4045,0,Philadelphia 76ers,91.0,
120,316,-6894,-4045,1,Boston Celtics,96.4,
79,317,1449,3798,0,Orlando Magic,100.5,
80,317,-1449,-3798,1,Charlotte Hornets,93.9,
111,317,1449,3798,0,Orlando Magic,100.5,
103,317,-1449,-3798,1,Charlotte Hornets,93.9,
110,317,-1449,-3798,0,Charlotte Hornets,93.9,
100,317,1449,3798,1,Orlando Magic,100.5,
102,317,-1449,-3798,0,Charlotte Hornets,93.9,
85,317,1449,3798,1,Orlando Magic,100.5,
63,318,1631,6102,0,Toronto Raptors,91.4,
85,318,-1631,-6102,1,Detroit Pistons,94.3,
91,318,1631,6102,0,Toronto Raptors,91.4,
96,318,-1631,-6102,1,Detroit Pistons,94.3,
84,318,-1631,-6102,0,Detroit Pistons,94.3,
94,318,1631,6102,1,Toronto Raptors,91.4,
83,318,-1631,-6102,0,Detroit Pistons,94.3,
89,318,1631,6102,1,Toronto Raptors,91.4,
82,318,1631,6102,0,Toronto Raptors,91.4,
85,318,-1631,-6102,1,Detroit Pistons,94.3,
89,319,3445,397,0,Indiana Pacers,96.8,
83,319,-3445,-397,1,New Jersey Nets,96.2,
79,319,3445,397,0,Indiana Pacers,96.8,
95,319,-3445,-397,1,New Jersey Nets,96.2,
85,319,-3445,-397,0,New Jersey Nets,96.2,
84,319,3445,397,1,Indiana Pacers,96.8,
74,319,-3445,-397,0,New Jersey Nets,96.2,
97,319,3445,397,1,Indiana Pacers,96.8,
109,319,3445,397,0,Indiana Pacers,96.8,
120,319,-3445,-397,1,New Jersey Nets,96.2,
94,320,-398,1135,0,Minnesota Timberwolves,99.3,
101,320,398,-1135,1,Dallas Mavericks,105.2,
110,320,-398,1135,0,Minnesota Timberwolves,99.3,
122,320,398,-1135,1,Dallas Mavericks,105.2,
115,320,398,-1135,0,Dallas Mavericks,105.2,
102,320,-398,1135,1,Minnesota Timberwolves,99.3,
87,321,-2648,5601,0,Portland Trail Blazers,96.6,
95,321,2648,-5601,1,Los Angeles Lakers,101.3,
96,321,-2648,5601,0,Portland Trail Blazers,96.6,
103,321,2648,-5601,1,Los Angeles Lakers,101.3,
92,321,2648,-5601,0,Los Angeles Lakers,101.3,
91,321,-2648,5601,1,Portland Trail Blazers,96.6,
86,322,11419,923,0,Utah Jazz,96.0,
89,322,-11419,-923,1,Sacramento Kings,104.6,
93,322,11419,923,0,Utah Jazz,96.0,
86,322,-11419,-923,1,Sacramento Kings,104.6,
90,322,-11419,-923,0,Sacramento Kings,104.6,
87,322,11419,923,1,Utah Jazz,96.0,
91,322,-11419,-923,0,Sacramento Kings,104.6,
86,322,11419,923,1,Utah Jazz,96.0,
89,323,-651,-9230,0,Seattle SuperSonics,97.7,
110,323,651,9230,1,San Antonio Spurs,96.7,
98,323,-651,-9230,0,Seattle SuperSonics,97.7,
90,323,651,9230,1,San Antonio Spurs,96.7,
102,323,651,9230,0,San Antonio Spurs,96.7,
75,323,-651,-9230,1,Seattle SuperSonics,97.7,
79,323,651,9230,0,San Antonio Spurs,96.7,
91,323,-651,-9230,1,Seattle SuperSonics,97.7,
78,323,-651,-9230,0,Seattle SuperSonics,97.7,
101,323,651,9230,1,San Antonio Spurs,96.7,
84,324,-2679,234,0,Boston Celtics,96.4,
96,324,2679,-234,1,Detroit Pistons,94.3,
85,324,-2679,234,0,Boston Celtics,96.4,
77,324,2679,-234,1,Detroit Pistons,94.3,
64,324,2679,-234,0,Detroit Pistons,94.3,
66,324,-2679,234,1,Boston Celtics,96.4,
79,324,2679,-234,0,Detroit Pistons,94.3,
90,324,-2679,234,1,Boston Celtics,96.4,
90,324,-2679,234,0,Boston Celtics,96.4,
81,324,2679,-234,1,Detroit Pistons,94.3,
93,325,4384,790,0,Charlotte Hornets,93.9,
99,325,-4384,-790,1,New Jersey Nets,96.2,
88,325,4384,790,0,Charlotte Hornets,93.9,
102,325,-4384,-790,1,New Jersey Nets,96.2,
97,325,-4384,-790,0,New Jersey Nets,96.2,
115,325,4384,790,1,Charlotte Hornets,93.9,
89,325,-4384,-790,0,New Jersey Nets,96.2,
79,325,4384,790,1,Charlotte Hornets,93.9,
95,325,4384,790,0,Charlotte Hornets,93.9,
103,325,-4384,-790,1,New Jersey Nets,96.2,
80,326,-8621,6748,0,San Antonio Spurs,96.7,
86,326,8621,-6748,1,Los Angeles Lakers,101.3,
88,326,-8621,6748,0,San Antonio Spurs,96.7,
85,326,8621,-6748,1,Los Angeles Lakers,101.3,
99,326,8621,-6748,0,Los Angeles Lakers,101.3,
89,326,-8621,6748,1,San Antonio Spurs,96.7,
87,326,8621,-6748,0,Los Angeles Lakers,101.3,
85,326,-8621,6748,1,San Antonio Spurs,96.7,
87,326,-8621,6748,0,San Antonio Spurs,96.7,
93,326,8621,-6748,1,Los Angeles Lakers,101.3,
91,327,-1748,-625,0,Dallas Mavericks,105.2,
108,327,1748,625,1,Sacramento Kings,104.6,
110,327,-1748,-625,0,Dallas Mavericks,105.2,
102,327,1748,625,1,Sacramento Kings,104.6,
125,327,1748,625,0,Sacramento Kings,104.6,
119,327,-1748,-625,1,Dallas Mavericks,105.2,
115,327,1748,625,0,Sacramento Kings,104.6,
113,327,-1748,-625,1,Dallas Mavericks,105.2,
101,327,-1748,-625,0,Dallas Mavericks,105.2,
114,327,1748,625,1,Sacramento Kings,104.6,
97,328,-531,447,0,Boston Celtics,96.4,
104,328,531,-447,1,New Jersey Nets,96.2,
93,328,-531,447,0,Boston Celtics,96.4,
86,328,531,-447,1,New Jersey Nets,96.2,
90,328,531,-447,0,New Jersey Nets,96.2,
94,328,-531,447,1,Boston Celtics,96.4,
94,328,531,-447,0,New Jersey Nets,96.2,
92,328,-531,447,1,Boston Celtics,96.4,
92,328,-531,447,0,Boston Celtics,96.4,
103,328,531,-447,1,New Jersey Nets,96.2,
96,328,531,-447,0,New Jersey Nets,96.2,
88,328,-531,447,1,Boston Celtics,96.4,
106,329,9488,2589,0,Los Angeles Lakers,101.3,
99,329,-9488,-2589,1,Sacramento Kings,104.6,
90,329,9488,2589,0,Los Angeles Lakers,101.3,
96,329,-9488,-2589,1,Sacramento Kings,104.6,
103,329,-9488,-2589,0,Sacramento Kings,104.6,
90,329,9488,2589,1,Los Angeles Lakers,101.3,
99,329,-9488,-2589,0,Sacramento Kings,104.6,
100,329,9488,2589,1,Los Angeles Lakers,101.3,
91,329,9488,2589,0,Los Angeles Lakers,101.3,
92,329,-9488,-2589,1,Sacramento Kings,104.6,
102,329,-9488,-2589,0,Sacramento Kings,104.6,
106,329,9488,2589,1,Los Angeles Lakers,101.3,
112,329,9488,2589,0,Los Angeles Lakers,101.3,
106,329,-9488,-2589,1,Sacramento Kings,104.6,
103,301,-2602,-380,0,Boston Celtics,92.7,
100,301,2602,380,1,Indiana Pacers,96.8,
77,301,-2602,-380,0,Boston Celtics,92.7,
89,301,2602,380,1,Indiana Pacers,96.8,
83,301,2602,380,0,Indiana Pacers,96.8,
101,301,-2602,-380,1,Boston Celtics,92.7,
92,301,2602,380,0,Indiana Pacers,96.8,
102,301,-2602,-380,1,Boston Celtics,92.7,
88,301,-2602,-380,0,Boston Celtics,92.7,
93,301,2602,380,1,Indiana Pacers,96.8,
90,301,2602,380,0,Indiana Pacers,96.8,
110,301,-2602,-380,1,Boston Celtics,92.7,
99,302,-2635,595,0,Orlando Magic,98.5,
94,302,2635,-595,1,Detroit Pistons,91.4,
77,302,-2635,595,0,Orlando Magic,98.5,
89,302,2635,-595,1,Detroit Pistons,91.4,
80,302,2635,-595,0,Detroit Pistons,91.4,
89,302,-2635,595,1,Orlando Magic,98.5,
92,302,2635,-595,0,Detroit Pistons,91.4,
100,302,-2635,595,1,Orlando Magic,98.5,
67,302,-2635,595,0,Orlando Magic,98.5,
98,302,2635,-595,1,Detroit Pistons,91.4,
103,302,2635,-595,0,Detroit Pistons,91.4,
88,302,-2635,595,1,Orlando Magic,98.5,
93,302,-2635,595,0,Orlando Magic,98.5,
108,302,2635,-595,1,Detroit Pistons,91.4,
96,303,5162,-862,0,Milwaukee Bucks,99.5,
109,303,-5162,862,1,New Jersey Nets,95.4,
88,303,5162,-862,0,Milwaukee Bucks,99.5,
85,303,-5162,862,1,New Jersey Nets,95.4,
103,303,-5162,862,0,New Jersey Nets,95.4,
101,303,5162,-862,1,Milwaukee Bucks,99.5,
114,303,-5162,862,0,New Jersey Nets,95.4,
119,303,5162,-862,1,Milwaukee Bucks,99.5,
82,303,5162,-862,0,Milwaukee Bucks,99.5,
89,303,-5162,862,1,New Jersey Nets,95.4,
113,303,-5162,862,0,New Jersey Nets,95.4,
101,303,5162,-862,1,Milwaukee Bucks,99.5,
90,304,750,57,0,New Orleans Hornets,93.9,
98,304,-750,-57,1,Philadelphia 76ers,96.8,
85,304,750,57,0,New Orleans Hornets,93.9,
90,304,-750,-57,1,Philadelphia 76ers,96.8,
85,304,-750,-57,0,Philadelphia 76ers,96.8,
99,304,750,57,1,New Orleans Hornets,93.9,
96,304,-750,-57,0,Philadelphia 76ers,96.8,
87,304,750,57,1,New Orleans Hornets,93.9,
93,304,750,57,0,New Orleans Hornets,93.9,
91,304,-750,-57,1,Philadelphia 76ers,96.8,
107,304,-750,-57,0,Philadelphia 76ers,96.8,
103,304,750,57,1,New Orleans Hornets,93.9,
86,305,2109,9656,0,Portland Trail Blazers,95.2,
96,305,-2109,-9656,1,Dallas Mavericks,103.0,
99,305,2109,9656,0,Portland Trail Blazers,95.2,
103,305,-2109,-9656,1,Dallas Mavericks,103.0,
115,305,-2109,-9656,0,Dallas Mavericks,103.0,
103,305,2109,9656,1,Portland Trail Blazers,95.2,
79,305,-2109,-9656,0,Dallas Mavericks,103.0,
98,305,2109,9656,1,Portland Trail Blazers,95.2,
103,305,2109,9656,0,Portland Trail Blazers,95.2,
99,305,-2109,-9656,1,Dallas Mavericks,103.0,
103,305,-2109,-9656,0,Dallas Mavericks,103.0,
125,305,2109,9656,1,Portland Trail Blazers,95.2,
95,305,2109,9656,0,Portland Trail Blazers,95.2,
107,305,-2109,-9656,1,Dallas Mavericks,103.0,
117,306,12659,2480,0,Los Angeles Lakers,100.4,
98,306,-12659,-2480,1,Minnesota Timberwolves,98.1,
91,306,12659,2480,0,Los Angeles Lakers,100.4,
119,306,-12659,-2480,1,Minnesota Timberwolves,98.1,
114,306,-12659,-2480,0,Minnesota Timberwolves,98.1,
110,306,12659,2480,1,Los Angeles Lakers,100.4,
97,306,-12659,-2480,0,Minnesota Timberwolves,98.1,
102,306,12659,2480,1,Los Angeles Lakers,100.4,
120,306,12659,2480,0,Los Angeles Lakers,100.4,
90,306,-12659,-2480,1,Minnesota Timberwolves,98.1,
85,306,-12659,-2480,0,Minnesota Timberwolves,98.1,
101,306,12659,2480,1,Los Angeles Lakers,100.4,
90,307,8478,799,0,Utah Jazz,94.7,
96,307,-8478,-799,1,Sacramento Kings,101.7,
95,307,8478,799,0,Utah Jazz,94.7,
108,307,-8478,-799,1,Sacramento Kings,101.7,
104,307,-8478,-799,0,Sacramento Kings,101.7,
107,307,8478,799,1,Utah Jazz,94.7,
99,307,-8478,-799,0,Sacramento Kings,101.7,
82,307,8478,799,1,Utah Jazz,94.7,
91,307,8478,799,0,Utah Jazz,94.7,
111,307,-8478,-799,1,Sacramento Kings,101.7,
96,308,65,-8431,0,Phoenix Suns,95.5,
95,308,-65,8431,1,San Antonio Spurs,95.8,
76,308,65,-8431,0,Phoenix Suns,95.5,
84,308,-65,8431,1,San Antonio Spurs,95.8,
99,308,-65,8431,0,San Antonio Spurs,95.8,
86,308,65,-8431,1,Phoenix Suns,95.5,
84,308,-65,8431,0,San Antonio Spurs,95.8,
86,308,65,-8431,1,Phoenix Suns,95.5,
82,308,65,-8431,0,Phoenix Suns,95.5,
94,308,-65,8431,1,San Antonio Spurs,95.8,
87,308,-65,8431,0,San Antonio Spurs,95.8,
85,308,65,-8431,1,Phoenix Suns,95.5,
87,309,1515,675,0,Philadelphia 76ers,96.8,
98,309,-1515,-675,1,Detroit Pistons,91.4,
97,309,1515,675,0,Philadelphia 76ers,96.8,
104,309,-1515,-675,1,Detroit Pistons,91.4,
83,309,-1515,-675,0,Detroit Pistons,91.4,
93,309,1515,675,1,Philadelphia 76ers,96.8,
82,309,-1515,-675,0,Detroit Pistons,91.4,
95,309,1515,675,1,Philadelphia 76ers,96.8,
77,309,1515,675,0,Philadelphia 76ers,96.8,
78,309,-1515,-675,1,Detroit Pistons,91.4,
93,309,-1515,-675,0,Detroit Pistons,91.4,
89,309,1515,675,1,Philadelphia 76ers,96.8,
93,310,-1119,-3254,0,Boston Celtics,92.7,
97,310,1119,3254,1,New Jersey Nets,95.4,
95,310,-1119,-3254,0,Boston Celtics,92.7,
104,310,1119,3254,1,New Jersey Nets,95.4,
94,310,1119,3254,0,New Jersey Nets,95.4,
76,310,-1119,-3254,1,Boston Celtics,92.7,
110,310,1119,3254,0,New Jersey Nets,95.4,
101,310,-1119,-3254,1,Boston Celtics,92.7,
124,311,2068,1927,0,Sacramento Kings,101.7,
113,311,-2068,-1927,1,Dallas Mavericks,103.0,
110,311,2068,1927,0,Sacramento Kings,101.7,
132,311,-2068,-1927,1,Dallas Mavericks,103.0,
141,311,-2068,-1927,0,Dallas Mavericks,103.0,
137,311,2068,1927,1,Sacramento Kings,101.7,
83,311,-2068,-1927,0,Dallas Mavericks,103.0,
99,311,2068,1927,1,Sacramento Kings,101.7,
93,311,2068,1927,0,Sacramento Kings,101.7,
112,311,-2068,-1927,1,Dallas Mavericks,103.0,
109,311,-2068,-1927,0,Dallas Mavericks,103.0,
115,311,2068,1927,1,Sacramento Kings,101.7,
99,311,2068,1927,0,Sacramento Kings,101.7,
112,311,-2068,-1927,1,Dallas Mavericks,103.0,
82,312,12596,-9844,0,Los Angeles Lakers,100.4,
87,312,-12596,9844,1,San Antonio Spurs,95.8,
95,312,12596,-9844,0,Los Angeles Lakers,100.4,
114,312,-12596,9844,1,San Antonio Spurs,95.8,
95,312,-12596,9844,0,San Antonio Spurs,95.8,
110,312,12596,-9844,1,Los Angeles Lakers,100.4,
95,312,-12596,9844,0,San Antonio Spurs,95.8,
99,312,12596,-9844,1,Los Angeles Lakers,100.4,
94,312,12596,-9844,0,Los Angeles Lakers,100.4,
96,312,-12596,9844,1,San Antonio Spurs,95.8,
110,312,-12596,9844,0,San Antonio Spurs,95.8,
82,312,12596,-9844,1,Los Angeles Lakers,100.4,
76,313,-115,-971,0,New Jersey Nets,95.4,
74,313,115,971,1,Detroit Pistons,91.4,
88,313,-115,-971,0,New Jersey Nets,95.4,
86,313,115,971,1,Detroit Pistons,91.4,
85,313,115,971,0,Detroit Pistons,91.4,
97,313,-115,-971,1,New Jersey Nets,95.4,
82,313,115,971,0,Detroit Pistons,91.4,
102,313,-115,-971,1,New Jersey Nets,95.4,
113,314,765,-10361,0,Dallas Mavericks,103.0,
110,314,-765,10361,1,San Antonio Spurs,95.8,
106,314,765,-10361,0,Dallas Mavericks,103.0,
119,314,-765,10361,1,San Antonio Spurs,95.8,
96,314,-765,10361,0,San Antonio Spurs,95.8,
83,314,765,-10361,1,Dallas Mavericks,103.0,
102,314,-765,10361,0,San Antonio Spurs,95.8,
95,314,765,-10361,1,Dallas Mavericks,103.0,
103,314,765,-10361,0,Dallas Mavericks,103.0,
91,314,-765,10361,1,San Antonio Spurs,95.8,
90,314,-765,10361,0,San Antonio Spurs,95.8,
78,314,765,-10361,1,Dallas Mavericks,103.0,
82,286,-2587,-1470,0,Milwaukee Bucks,98.0,
108,286,2587,1470,1,Detroit Pistons,90.1,
92,286,-2587,-1470,0,Milwaukee Bucks,98.0,
88,286,2587,1470,1,Detroit Pistons,90.1,
95,286,2587,1470,0,Detroit Pistons,90.1,
85,286,-2587,-1470,1,Milwaukee Bucks,98.0,
109,286,2587,1470,0,Detroit Pistons,90.1,
92,286,-2587,-1470,1,Milwaukee Bucks,98.0,
77,286,-2587,-1470,0,Milwaukee Bucks,98.0,
91,286,2587,1470,1,Detroit Pistons,90.1,
88,287,902,-6642,0,Boston Celtics,95.3,
104,287,-902,6642,1,Indiana Pacers,91.4,
90,287,902,-6642,0,Boston Celtics,95.3,
103,287,-902,6642,1,Indiana Pacers,91.4,
108,287,-902,6642,0,Indiana Pacers,91.4,
85,287,902,-6642,1,Boston Celtics,95.3,
90,287,-902,6642,0,Indiana Pacers,91.4,
75,287,902,-6642,1,Boston Celtics,95.3,
79,288,3663,4833,0,New Orleans Hornets,91.8,
81,288,-3663,-4833,1,Miami Heat,90.3,
63,288,3663,4833,0,New Orleans Hornets,91.8,
93,288,-3663,-4833,1,Miami Heat,90.3,
71,288,-3663,-4833,0,Miami Heat,90.3,
77,288,3663,4833,1,New Orleans Hornets,91.8,
85,288,-3663,-4833,0,Miami Heat,90.3,
96,288,3663,4833,1,New Orleans Hornets,91.8,
83,288,3663,4833,0,New Orleans Hornets,91.8,
87,288,-3663,-4833,1,Miami Heat,90.3,
83,288,-3663,-4833,0,Miami Heat,90.3,
89,288,3663,4833,1,New Orleans Hornets,91.8,
77,288,3663,4833,0,New Orleans Hornets,91.8,
85,288,-3663,-4833,1,Miami Heat,90.3,
83,289,-2352,1205,0,New York Knicks,92.0,
107,289,2352,-1205,1,New Jersey Nets,90.3,
81,289,-2352,1205,0,New York Knicks,92.0,
99,289,2352,-1205,1,New Jersey Nets,90.3,
81,289,2352,-1205,0,New Jersey Nets,90.3,
78,289,-2352,1205,1,New York Knicks,92.0,
100,289,2352,-1205,0,New Jersey Nets,90.3,
94,289,-2352,1205,1,New York Knicks,92.0,
71,290,-21800,-2112,0,Houston Rockets,89.8,
72,290,21800,2112,1,Los Angeles Lakers,98.2,
84,290,-21800,-2112,0,Houston Rockets,89.8,
98,290,21800,2112,1,Los Angeles Lakers,98.2,
91,290,21800,2112,0,Los Angeles Lakers,98.2,
102,290,-21800,-2112,1,Houston Rockets,89.8,
92,290,21800,2112,0,Los Angeles Lakers,98.2,
88,290,-21800,-2112,1,Houston Rockets,89.8,
78,290,-21800,-2112,0,Houston Rockets,89.8,
97,290,21800,2112,1,Los Angeles Lakers,98.2,
92,291,-4758,-1109,0,Denver Nuggets,97.2,
106,291,4758,1109,1,Minnesota Timberwolves,94.5,
81,291,-4758,-1109,0,Denver Nuggets,97.2,
95,291,4758,1109,1,Minnesota Timberwolves,94.5,
86,291,4758,1109,0,Minnesota Timberwolves,94.5,
107,291,-4758,-1109,1,Denver Nuggets,97.2,
84,291,4758,1109,0,Minnesota Timberwolves,94.5,
82,291,-4758,-1109,1,Denver Nuggets,97.2,
91,291,-4758,-1109,0,Denver Nuggets,97.2,
102,291,4758,1109,1,Minnesota Timberwolves,94.5,
105,292,-375,-1268,0,Dallas Mavericks,105.2,
116,292,375,1268,1,Sacramento Kings,102.8,
79,292,-375,-1268,0,Dallas Mavericks,105.2,
83,292,375,1268,1,Sacramento Kings,102.8,
79,292,375,1268,0,Sacramento Kings,102.8,
104,292,-375,-1268,1,Dallas Mavericks,105.2,
94,292,375,1268,0,Sacramento Kings,102.8,
92,292,-375,-1268,1,Dallas Mavericks,105.2,
118,292,-375,-1268,0,Dallas Mavericks,105.2,
119,292,375,1268,1,Sacramento Kings,102.8,
74,293,-6142,-10008,0,Memphis Grizzlies,96.7,
98,293,6142,10008,1,San Antonio Spurs,91.5,
70,293,-6142,-10008,0,Memphis Grizzlies,96.7,
87,293,6142,10008,1,San Antonio Spurs,91.5,
95,293,6142,10008,0,San Antonio Spurs,91.5,
93,293,-6142,-10008,1,Memphis Grizzlies,96.7,
110,293,6142,10008,0,San Antonio Spurs,91.5,
97,293,-6142,-10008,1,Memphis Grizzlies,96.7,
56,294,2394,-1218,0,New Jersey Nets,90.3,
78,294,-2394,1218,1,Detroit Pistons,90.1,
80,294,2394,-1218,0,New Jersey Nets,90.3,
95,294,-2394,1218,1,Detroit Pistons,90.1,
64,294,-2394,1218,0,Detroit Pistons,90.1,
82,294,2394,-1218,1,New Jersey Nets,90.3,
79,294,-2394,1218,0,Detroit Pistons,90.1,
94,294,2394,-1218,1,New Jersey Nets,90.3,
127,294,2394,-1218,0,New Jersey Nets,90.3,
120,294,-2394,1218,1,Detroit Pistons,90.1,
81,294,-2394,1218,0,Detroit Pistons,90.1,
75,294,2394,-1218,1,New Jersey Nets,90.3,
69,294,2394,-1218,0,New Jersey Nets,90.3,
90,294,-2394,1218,1,Detroit Pistons,90.1,
81,295,-2626,-2951,0,Miami Heat,90.3,
94,295,2626,2951,1,Indiana Pacers,91.4,
80,295,-2626,-2951,0,Miami Heat,90.3,
91,295,2626,2951,1,Indiana Pacers,91.4,
87,295,2626,2951,0,Indiana Pacers,91.4,
94,295,-2626,-2951,1,Miami Heat,90.3,
88,295,2626,2951,0,Indiana Pacers,91.4,
100,295,-2626,-2951,1,Miami Heat,90.3,
83,295,-2626,-2951,0,Miami Heat,90.3,
94,295,2626,2951,1,Indiana Pacers,91.4,
73,295,2626,2951,0,Indiana Pacers,91.4,
70,295,-2626,-2951,1,Miami Heat,90.3,
78,296,14361,-3117,0,Los Angeles Lakers,98.2,
88,296,-14361,3117,1,San Antonio Spurs,91.5,
85,296,14361,-3117,0,Los Angeles Lakers,98.2,
95,296,-14361,3117,1,San Antonio Spurs,91.5,
81,296,-14361,3117,0,San Antonio Spurs,91.5,
105,296,14361,-3117,1,Los Angeles Lakers,98.2,
90,296,-14361,3117,0,San Antonio Spurs,91.5,
98,296,14361,-3117,1,Los Angeles Lakers,98.2,
74,296,14361,-3117,0,Los Angeles Lakers,98.2,
73,296,-14361,3117,1,San Antonio Spurs,91.5,
76,296,-14361,3117,0,San Antonio Spurs,91.5,
88,296,14361,-3117,1,Los Angeles Lakers,98.2,
104,297,813,2308,0,Sacramento Kings,102.8,
98,297,-813,-2308,1,Minnesota Timberwolves,94.5,
89,297,813,2308,0,Sacramento Kings,102.8,
94,297,-813,-2308,1,Minnesota Timberwolves,94.5,
114,297,-813,-2308,0,Minnesota Timberwolves,94.5,
113,297,813,2308,1,Sacramento Kings,102.8,
81,297,-813,-2308,0,Minnesota Timberwolves,94.5,
87,297,813,2308,1,Sacramento Kings,102.8,
74,297,813,2308,0,Sacramento Kings,102.8,
86,297,-813,-2308,1,Minnesota Timberwolves,94.5,
87,297,-813,-2308,0,Minnesota Timberwolves,94.5,
104,297,813,2308,1,Sacramento Kings,102.8,
80,297,813,2308,0,Sacramento Kings,102.8,
83,297,-813,-2308,1,Minnesota Timberwolves,94.5,
74,298,-597,1852,0,Detroit Pistons,90.1,
78,298,597,-1852,1,Indiana Pacers,91.4,
72,298,-597,1852,0,Detroit Pistons,90.1,
67,298,597,-1852,1,Indiana Pacers,91.4,
78,298,597,-1852,0,Indiana Pacers,91.4,
85,298,-597,1852,1,Detroit Pistons,90.1,
83,298,597,-1852,0,Indiana Pacers,91.4,
68,298,-597,1852,1,Detroit Pistons,90.1,
83,298,-597,1852,0,Detroit Pistons,90.1,
65,298,597,-1852,1,Indiana Pacers,91.4,
65,298,597,-1852,0,Indiana Pacers,91.4,
69,298,-597,1852,1,Detroit Pistons,90.1,
97,299,19146,-2000,0,Los Angeles Lakers,98.2,
88,299,-19146,2000,1,Minnesota Timberwolves,94.5,
71,299,19146,-2000,0,Los Angeles Lakers,98.2,
89,299,-19146,2000,1,Minnesota Timberwolves,94.5,
89,299,-19146,2000,0,Minnesota Timberwolves,94.5,
100,299,19146,-2000,1,Los Angeles Lakers,98.2,
85,299,-19146,2000,0,Minnesota Timberwolves,94.5,
92,299,19146,-2000,1,Los Angeles Lakers,98.2,
96,299,19146,-2000,0,Los Angeles Lakers,98.2,
98,299,-19146,2000,1,Minnesota Timberwolves,94.5,
90,299,-19146,2000,0,Minnesota Timberwolves,94.5,
96,299,19146,-2000,1,Los Angeles Lakers,98.2,
85,271,-4153,2091,0,Philadelphia 76ers,99.1,
106,271,4153,-2091,1,Detroit Pistons,93.3,
84,271,-4153,2091,0,Philadelphia 76ers,99.1,
99,271,4153,-2091,1,Detroit Pistons,93.3,
104,271,4153,-2091,0,Detroit Pistons,93.3,
115,271,-4153,2091,1,Philadelphia 76ers,99.1,
97,271,4153,-2091,0,Detroit Pistons,93.3,
92,271,-4153,2091,1,Philadelphia 76ers,99.1,
78,271,-4153,2091,0,Philadelphia 76ers,99.1,
88,271,4153,-2091,1,Detroit Pistons,93.3,
82,272,2931,2571,0,Indiana Pacers,93.0,
102,272,-2931,-2571,1,Boston Celtics,101.3,
82,272,2931,2571,0,Indiana Pacers,93.0,
79,272,-2931,-2571,1,Boston Celtics,101.3,
76,272,-2931,-2571,0,Boston Celtics,101.3,
99,272,2931,2571,1,Indiana Pacers,93.0,
110,272,-2931,-2571,0,Boston Celtics,101.3,
79,272,2931,2571,1,Indiana Pacers,93.0,
90,272,2931,2571,0,Indiana Pacers,93.0,
85,272,-2931,-2571,1,Boston Celtics,101.3,
92,272,-2931,-2571,0,Boston Celtics,101.3,
89,272,2931,2571,1,Indiana Pacers,93.0,
97,272,2931,2571,0,Indiana Pacers,93.0,
70,272,-2931,-2571,1,Boston Celtics,101.3,
98,273,-3053,-2278,0,New Jersey Nets,91.4,
116,273,3053,2278,1,Miami Heat,101.5,
87,273,-3053,-2278,0,New Jersey Nets,91.4,
104,273,3053,2278,1,Miami Heat,101.5,
108,273,3053,2278,0,Miami Heat,101.5,
105,273,-3053,-2278,1,New Jersey Nets,91.4,
110,273,3053,2278,0,Miami Heat,101.5,
97,273,-3053,-2278,1,New Jersey Nets,91.4,
94,274,-2156,739,0,Washington Wizards,100.5,
103,274,2156,-739,1,Chicago Bulls,94.5,
103,274,-2156,739,0,Washington Wizards,100.5,
113,274,2156,-739,1,Chicago Bulls,94.5,
99,274,2156,-739,0,Chicago Bulls,94.5,
117,274,-2156,739,1,Washington Wizards,100.5,
99,274,2156,-739,0,Chicago Bulls,94.5,
106,274,-2156,739,1,Washington Wizards,100.5,
112,274,-2156,739,0,Washington Wizards,100.5,
110,274,2156,-739,1,Chicago Bulls,94.5,
91,274,2156,-739,0,Chicago Bulls,94.5,
94,274,-2156,739,1,Washington Wizards,100.5,
98,275,-795,107,0,Houston Rockets,95.1,
86,275,795,-107,1,Dallas Mavericks,102.5,
113,275,-795,107,0,Houston Rockets,95.1,
111,275,795,-107,1,Dallas Mavericks,102.5,
106,275,795,-107,0,Dallas Mavericks,102.5,
102,275,-795,107,1,Houston Rockets,95.1,
97,275,795,-107,0,Dallas Mavericks,102.5,
93,275,-795,107,1,Houston Rockets,95.1,
100,275,-795,107,0,Houston Rockets,95.1,
103,275,795,-107,1,Dallas Mavericks,102.5,
83,275,795,-107,0,Dallas Mavericks,102.5,
101,275,-795,107,1,Houston Rockets,95.1,
76,275,-795,107,0,Houston Rockets,95.1,
116,275,795,-107,1,Dallas Mavericks,102.5,
103,276,-1513,-522,0,Memphis Grizzlies,93.4,
114,276,1513,522,1,Phoenix Suns,110.4,
103,276,-1513,-522,0,Memphis Grizzlies,93.4,
108,276,1513,522,1,Phoenix Suns,110.4,
110,276,1513,522,0,Phoenix Suns,110.4,
90,276,-1513,-522,1,Memphis Grizzlies,93.4,
123,276,1513,522,0,Phoenix Suns,110.4,
115,276,-1513,-522,1,Memphis Grizzlies,93.4,
93,277,-4016,-2837,0,Denver Nuggets,99.5,
87,277,4016,2837,1,San Antonio Spurs,96.2,
