score,series_ID,starters_playoff_exp_diff,bench_playoff_exp_diff,at_home,team,reg_season_points,opp_reg_season_pa
124,446,10275,1997,0,Phoenix Suns,108.2,
117,446,-10275,-1997,1,Houston Rockets,101.1,
118,446,-10275,-1997,0,Houston Rockets,101.1,
102,446,10275,1997,1,Phoenix Suns,108.2,
107,446,-10275,-1997,0,Houston Rockets,101.1,
96,446,10275,1997,1,Phoenix Suns,108.2,
86,446,10275,1997,0,Phoenix Suns,108.2,
109,446,-10275,-1997,1,Houston Rockets,101.1,
89,446,-10275,-1997,0,Houston Rockets,101.1,
103,446,10275,1997,1,Phoenix Suns,108.2,
94,446,10275,1997,0,Phoenix Suns,108.2,
104,446,-10275,-1997,1,Houston Rockets,101.1,
91,447,-9624,-1049,0,Denver Nuggets,100.3,
100,447,9624,1049,1,Utah Jazz,101.9,
94,447,-9624,-1049,0,Denver Nuggets,100.3,
104,447,9624,1049,1,Utah Jazz,101.9,
111,447,9624,1049,0,Utah Jazz,101.9,
109,447,-9624,-1049,1,Denver Nuggets,100.3,
82,447,9624,1049,0,Utah Jazz,101.9,
83,447,-9624,-1049,1,Denver Nuggets,100.3,
109,447,-9624,-1049,0,Denver Nuggets,100.3,
101,447,9624,1049,1,Utah Jazz,101.9,
91,447,9624,1049,0,Utah Jazz,101.9,
94,447,-9624,-1049,1,Denver Nuggets,100.3,
81,447,-9624,-1049,0,Denver Nuggets,100.3,
91,447,9624,1049,1,Utah Jazz,101.9,
89,448,-5056,2007,0,Indiana Pacers,101.0,
100,448,5056,-2007,1,New York Knicks,98.5,
78,448,-5056,2007,0,Indiana Pacers,101.0,
89,448,5056,-2007,1,New York Knicks,98.5,
68,448,5056,-2007,0,New York Knicks,98.5,
88,448,-5056,2007,1,Indiana Pacers,101.0,
77,448,5056,-2007,0,New York Knicks,98.5,
83,448,-5056,2007,1,Indiana Pacers,101.0,
93,448,-5056,2007,0,Indiana Pacers,101.0,
86,448,5056,-2007,1,New York Knicks,98.5,
98,448,5056,-2007,0,New York Knicks,98.5,
91,448,-5056,2007,1,Indiana Pacers,101.0,
90,448,-5056,2007,0,Indiana Pacers,101.0,
94,448,5056,-2007,1,New York Knicks,98.5,
88,449,1726,3409,0,Utah Jazz,101.9,
100,449,-1726,-3409,1,Houston Rockets,101.1,
99,449,1726,3409,0,Utah Jazz,101.9,
104,449,-1726,-3409,1,Houston Rockets,101.1,
86,449,-1726,-3409,0,Houston Rockets,101.1,
95,449,1726,3409,1,Utah Jazz,101.9,
